ID,Query,Job Title,Description,IT Skills,Soft Skills,Education,Experience,Token Usage
3859,Artificial Intelligence, Collaborative Manipulation Roboticist,"Location: Schlumberger-Doll Research, Cambridge, MA, USA At Schlumberger-Doll Research (SDR) in Cambridge, MA, the robotics department is evaluating and developing cutting-edge technology for the automation of unstructured oil and gas applications. We are looking for talented PhD and Master’s level roboticists specializing in collaborative manipulation to join a multidisciplinary team working on stimulating problems that will lead to disruptive differentiation in functions spanning manufacturing, maintenance and field operations. The successful candidate will closely collaborate with experienced SDR team members and Schlumberger product development entities to design, develop, simulate and test algorithms and software prototypes against harsh oilfield environments. Taking advantage of the vibrant Boston robotic cluster, he/she will participate in strategic engagements with academic research institutions and worldwide industry partners. Qualifications PhD or Master’s degree with 3 years of industry experience with emphasis on human-robot collaborative manipulation Deep theoretical foundation in relevant artificial intelligence disciplines Working knowledge of Robot Operating System (ROS) framework Demonstrated proficiency with relevant programming languages, such as Python and C++, in a Linux environment Preferred experience Motion planning and inverse kinematics Task planning under uncertainty Supervised, reinforcement/demonstration learning Excellent problem-solving, organizational and communication skills Candidates must have the legal right to work in US Schlumberger is the world’s leading supplier of technology, integrated project management and information solutions to customers working in the oil and gas industry worldwide. Employing more than 105,000 people representing over 140 nationalities and working in approximately 85 countries, Schlumberger provides the industry’s widest range of products and services from exploration through production. Schlumberger has always invested significant time and money on R&E; as a long-term strategy to support and grow its technology leadership. Schlumberger invests more each year in R&E; than all other oilfield services companies combined. Schlumberger is an equal employment opportunity employer. Qualified applicants are considered without regard to race, color, religion, sex, national origin, age, disability, status as a protected veteran or other characteristics protected by law. Schlumberger is a VEVRAA Federal Contractor - priority referral Protected Veterans requested.","Collaborative Manipulation, Artificial Intelligence, Robot Operating System (ROS), Programming (Python, C++), Motion Planning, Inverse Kinematics, Task Planning under Uncertainty, Supervised Learning, Reinforcement/Demonstration Learning","Problem-solving, Organizational skills, Communication skills",,These skills are related to experience.,562
3764,Artificial Intelligence,Software Engineer - Innovation Lab,"About DENSO DENSO is one of the largest global automotive suppliers of advanced technology, systems and components in the areas of thermal, powertrain control, electronics and information and safety. From automated driving to hybrid and electric vehicle components, we’re crafting the core technologies of modern mobility. We draw on the strengths of individual inventors who are joining together to become an unstoppable force for global good. With our North American headquarters located in Michigan, DENSO employs more than 23,000 people at 28 consolidated subsidiaries and 4 affiliates across the North American region. Worldwide, the company has more than 200 subsidiaries and affiliates in 38 countries and regions and employs more than 150,000 people. Consolidated global sales for the fiscal year ending March 31, 2017, totaled US$40.4 billion. As a Software Engineer you will be part of a small R &D Innovation team developing products and services utilizing future technology. We are looking for a candidate to work with us on innovative products and services inside and outside the vehicle spectrum. Candidate must be creative and collaborative. If you're passionate about building technologies that are going to make a difference in the future, this could be the right job for you! What you'll be doing: Develop software for a variety of automotive applications, including infotainment systems, AR, heads-up display and haptic devices. Develop optimized software to run on variety of platforms and environments including mobile, tablet and laptops. Develop innovative solutions for challenging problems with scalable, production quality software. Work with internal cross functional teams to develop a working model or PoC (proof of concept). Work with customers to build integrations and troubleshoot issues. Learn constantly and dive into new areas with unfamiliar technologies. DENSO will not provide any US immigration sponsorship for this position BS in Computer Science or Computer Engineering. 2-4 years of experience as a software engineer. Strong development experience in C, C , Java. Developing systems applications on Linux/Android. Comfortable in Python language. Experience or knowledge in Artificial Intelligence Ability to take ideas from concept to prototype. Ability to vet technical requirements from cross-functional R&D groups. Ability to work in cross-functional teams with a strong sense of self-direction. Pro-active attitude.","Software Development, Infotainment Systems, Augmented Reality (AR), Heads-up Display (HUD), Haptic Devices, Platform Optimization, Cross-functional Collaboration, Proof of Concept (PoC), System Application Development, Linux/Android Development, Programming Languages: C, C++, Java, Python, Artificial Intelligence (AI), Prototype Development, Technical Requirement Analysis","Creativity, Collaboration, Problem-solving, Adaptability, Proactive Attitude, Self-direction",,,616
3597,Artificial Intelligence,"Director, Standards & Strategy","As a Director of Strategy & Strategy at Xperi, you will participate in industry standardization activities with 2 strategic goals: Maintain a continuous awareness of industry trends in the Audio/Video content creation and distribution spaces, including AR and VR, and other emerging technology areas such as imaging, machine learning and artificial intelligence Consistent with 1, establish DTS technologies in the technical standards and industry consortia publications that are impactful to Xperi business overall In furtherance of these goals, the successful candidate will participate in regular internal meetings with groups around the company to discuss Xperi standards and consortia participation, in light of industry trends and developments, to determine appropriate levels of participation, specific goals and schedules, weighing in available resources, commitments and company priorities. In concert with these regular meetings, the successful candidate will participate in assigned standards and industry consortia activities. Such participation will include travel, which may be substantial, to various f2f meetings and events. Primary work will involve authoring and reviewing technical specifications in the broad range of areas listed above. Qualifications & Skills Undergraduate degree in Engineering or Science. Post graduate degree a definite plus. Technical competence in one or more of the following areas: audio/video codec, media streaming and storage formats, AR/VR, machine learning, artificial intelligence Experience participating in international standards, consortia, or industry fora Experience working in an international and distributed environment Technical skills necessary to author and develop technical specifications Strong interpersonal skills a must Excellent communication skills, both written and oral Computer skills: Outlook, Word, Excel and PowerPoint required Willing to travel frequently and regularly to meetings in domestic and international locations Able to work in a team environment, and independently","Audio/video codec, Media streaming and storage formats, AR/VR, Machine learning, Artificial intelligence, Technical specifications authoring and reviewing","Participation in international standards, consortia, or industry fora, Working in an international and distributed environment, Interpersonal skills, Communication skills, Teamwork, Independence","Skills Related to Education:, Undergraduate degree in Engineering or Science, Postgraduate degree a plus","Skills Related to Experience:, Audio/video codec, Media streaming and storage formats, AR/VR, Machine learning, Artificial intelligence, International standards and consortia participation, International and distributed environment experience, Technical specifications authoring and reviewing, Interpersonal skills, Communication skills, Teamwork",549
3746,Artificial Intelligence,Business Strategy Consultant,"If you have a strategic mindset and expertise in the latest mobility technological trends, then look no further than P3! As a global consulting, management and engineering services company, we develop and implement innovative solutions to today’s complex technology challenges and industry changes that help our clients succeed at every stage. As the Business Strategy Consultant, you will have the opportunity to work with leading companies in the automotive industry to help drive business initiatives. As a key driver for developing strategy for leading automotive companies, you will be responsible for bringing transparency and insights to complex technology challenges. This will include working on a broad range of exciting technologies such as autonomous driving, connectivity, cybersecurity, vehicle electrification and artificial intelligence. _A Day in the Life:_ Consult with decision makers and leaders at major mobility companies and support the development of strategies regarding emerging technologies and products Invest time and effort to become a thought leader in a broad array of technologies and their implications on the mobility industry Moderate high level decision making workshops while providing technical and strategic input to guide the discussion Develop and use innovative frameworks and methodologies for solving complex technology planning challenges Support the strategic plan, business development and overall growth of projects, programs and initiatives Be open to challenges that involve new and unfamiliar technologies, complex and ambiguous situations, tight timelines and high client expectations. Build and maintain strong relationships with stakeholders while expanding your network to develop new opportunities _What You Have:_ Bachelor’s or Master’s degree in Mechanical Engineering, Electrical Engineering, Mechatronics with courses in Business Economics, Engineering Management, finance or related fields of study Drive, confidence and competence to manage critical work streams and responsibilities independently and to exceed expectations of clients and co-workers 2+ years of experience working in a strategic role focusing on automotive software, electronics, telematics, infotainment, connected vehicle and electrification A consulting mindset with an exposure to a wide variety of technology topics Ability to dive deep into a technology domain to understand basics and fundamentals but also big picture implications such as cost, differentiators, risks and improvement opportunities. Significant experience working and communicating directly with upper level management including C-Level executives Willingness to travel up to 50% of the time German language skills are a plus","Mobility technological trends expertise, Business strategy development, Autonomous driving, Connectivity, Cybersecurity, Vehicle electrification, Artificial intelligence, Technology planning frameworks and methodologies, Automotive software knowledge, Electronics knowledge, Telematics, Infotainment, Connected vehicles","Strategic mindset, Thought leadership, Communication skills, Relationship building, Problem-solving, Time management, Client management, Teamwork, Adaptability, Confidence",,,613
3872,Artificial Intelligence, Regular Full-Time,"Mission Who We Are Founded and continuously led by inventor and entrepreneur Tony Aquila, Solera is a global leader in digital technologies that connect and secure life's most important assets: our cars, homes and identities. Since its inception in 2005 as a garage-based startup, Solera has grown aggressively with over 50 acquisitions across its platforms The company's current product solutions include Audatex, Autodata, AutoPoint, CAP/HPI, Colimbra, Digidentity, Enservio, Explore Data, Hollander, Identifix, Inpart, LYNX and TitleTec, as well as the company's flagship Digital Garage application. Today, Solera processes over 300 million transactions annually for approximately 235,000 partners and customers in over 80 countries. Unified by a strong culture that values uncommon entrepreneurial thinking and continuous ""do-it-different"" innovation, Solera's global workforce of 6,700+ associates come from diverse forward-thinking industries that include automotive technology, artificial intelligence, software development, data sciences, cybersecurity, cognitive design, and digital identity protection. For more information, please visit solera.com. The Solera Way Solera’s uncommon culture is based on three simple principles: Think 80/20 (Focus), Act 30/30 (Efficiency), and Live 90/10 (Accountability). We define our mindset using Our 3H’s: Humility, a Hunger to succeed, and a desire to Hunt for opportunities to win. We train our volunteers to engage with each other modulating between their intellect (IQ) and emotional intelligence (EQ) using our 3Fs: Facts, Finesse, and Force. Solera has become a global technology leader that is constantly growing in the double digits. The principles, drills, and values associated with the Solera Way have been fundamental to Solera’s success and our ability to grow, continuously change, and innovate. Are You Uncommon? We’re on the hunt for an experienced Software Quality Analyst who ranks in the top quartile among their peers. Someone who has a highly competitive and entrepreneurial mindset that is wired with a team-first attitude, has no problem rolling up their sleeves to execute their missions, and can modulate between leading and following as needed. You will serve as the Software Quality Analyst. Position 80s What You’ll Be Doing At Solera, we believe in providing clarity and focus to what are our volunteers are responsible for – their mission. The 80’s, as we call them at Solera, are the employee’s priorities associated with their role or mission. The mission 80’s for this role, are: Understand the business flows, design test strategies, specifications and test plans through user stories. Use bug tracking tools to report bugs (JIRA if possible), analyses the test results and report them to SCRUM roles. Partner with automation team and adhere to automation principles and drive automation for the assigned product. Additional responsibilities of the role include: Raise an alert when an important issue is likely to put in jeopardy the whole project Work closely with Quality Assurance roles and other departments to ensure quality products with clear project deliverables and timelines, and to ensure timely completion of deliverables. Participate in a small, experienced, energetic team on a rapid, agile delivery schedule. Design test cases and test scenarios to ensure both new and previous features Execute test cases to ensure business scenario Be hands on in writing, executing and monitoring automated tests Build tools to support development and business functions Participate in new project development to facilitate automation in conjunction with development Qualifications Are You Qualified? 1-3 years of experience in QA role. Strong technical and troubleshooting expertise and mind set. Familiarity with at least one programming language and can write automation. Familiarity with agile software development methodologies Strong Software Testers mindset, good understanding of the software development lifecycle Must be able to finish tasks with minimum supervision Strong written and verbal communication skills including technical writing skill. Our Space We believe that offices should be destinations where people want to be… places where people want to work, play and, collaborate. That is why we spend a lot of time on enhancing our workspaces. Solera’s work environments are intersections of the old and the new… of the past, present, and future. They are spaces designed to stimulate creative thinking, innovation, and cross- functional collaboration. We also embrace wellness. Whether it is our on-site or off-site workout centers, nutritional meals and beverages, or endless snacks for focus and energy. This wellness plan is our commitment to healthy living, which spans across our office environments.","Test planning, Bug tracking tools, Automation principles, Writing test cases, Troubleshooting, Programming language, Agile software development, Software development lifecycle, Automation writing","Team player, Entrepreneurial mindset, Problem-solving, Communication skills, Accountability, Adaptability, Proactive mindset",,,1051
3565,Artificial Intelligence," Vice President, Advanced Research","Sets the vision and direction for the design of new digital product research that maintain TWDC’s reputation for performance and extraordinary commitment to quality. Partners with Advanced Technology leaders companywide to develop integrated products, solutions, and advancements across the content development and delivery value chain. Uses visionary skills to inspire advanced research team to develop and deliver creative solutions in the face of an ever-evolving digital landscape. Leads resource allocation decisions for digital product development within the Advanced Research group Partners with senior technology leadership to transition projects out of R&D; and into production deployment Manages company-wide R&D; portfolio of existing products through the creation of a framework for existing products and new product development through an open innovation platform. Deep understanding of OTT video, Virtual/Augmented Reality, Voice Assistants/Navigation, Wearable Devices, IoT, Artificial Intelligence, and Machine Vision 15+ years of demonstrated experience managing large, complex development projects from inception through completion. Experienced in agile and project management and continuous development Proven ability to coach and lead a team that executes consistently, rapidly, and effectively. Experience identifying, developing, and implementing tools and processes to empower teams and collaboration BAMTECH Media is a place for the creative and the bold. We’re seeking talent across disciplines to join our team. Whether New York City, San Francisco, Manchester or Amsterdam we provide opportunities to elevate your career and transform an industry BAMTECH is a leading technology services and video streaming company owned by The Walt Disney Company, MLBAM, and the National Hockey League. Our proprietary technology provides direct-to-consumer video solutions, especially for live events with high viewership, offering viewers high-quality visuals any time and on any device. Reporting to the EVP & CTO, Disney Streaming Services, the Vice President, Advanced Research, will advance how consumers interact with digital media through the use of innovative technology. Positioned at the confluence of streaming video, interactivity, big data, and traditional storytelling, this leader will create a sustainable digital advantage through the development of technologies in OTT video, Virtual/Augmented Reality, Voice Assistants/Navigation, Wearable Devices, IoT, Artificial Intelligence, and Machine Vision. 583097","Digital product research, Advanced technology integration, OTT video, Virtual/Augmented Reality, Voice Assistants/Navigation, Wearable Devices, IoT, Artificial Intelligence, Machine Vision, Agile project management","Visionary leadership, Resource allocation, Team coaching, Collaboration, Innovation","Education-related Skills:, Deep understanding of technology trends, Experience in managing large development projects, Experience in agile project management","Experience-related Skills:, Managing complex development projects, Team leadership, Implementing tools and processes for team empowerment",608
3819,Artificial Intelligence, Analytics Engineer,"As an Analytics Engineer, you will work on implementing Lattice’s AI platform for its customers. Your specific role is to analyze and transform raw customer data into summarized and aggregated data sets suitable for predictive modeling and machine learning. The best candidates thrive in a fast-paced environment and frame problems constructively to deliver reliable, transparent, and repeatable solutions. You fluently explain complex ideas to colleagues and customers. Responsibilities Execute data analysis, ETL, and data mining to support customer deployments Configure enterprise analytics platform and tools Work closely with customer delivery teams with mixed backgrounds (business & sales, mathematics & predictive analytics, database & data management) Solve problems arising from dynamic data and changing customer requirements Qualifications BS degree data analytics, information science, operations research, economics or a scientific, mathematical, or technical discipline such as physics, math, biological sciences, or engineering with relevant intern experience Demonstrated ability to learn and master new technologies Experience transforming data and programming repeatable ETL workflows using SQL Experience delivering business insights from data using pivot tables, advanced excel models, or business intelligence tools such as Tableau or Power BI Knowledge of AWS Tools and Python is a plus Knowledge of analytics tools such as R is a plus Experience working collaboratively on a team with aggressive deadlines Strong project and time management, as well as written and proactive communications skills About Lattice Engines Lattice is the global leader in delivering artificial intelligence (AI) applications for marketing and sales. Our software is used by over a hundred leading firms and many Fortune 500 companies including Dell, EMC, Thompson Reuters, PayPal, Staples, and Amazon. Backed by Sequoia Capital and New Enterprise Associates, Lattice has a proven leadership team with backgrounds from companies such as McKinsey, Bain, BCG, Accenture, Oracle, Siebel, Salesforce.com, and Eloqua.","Data analysis, ETL, Data mining, Enterprise analytics platform configuration, SQL, Pivot tables, Advanced Excel models, Business intelligence tools (Tableau, Power BI), AWS Tools, Python, R","Problem-solving, Communication, Collaboration, Project and time management, Written and proactive communications skills","Education-Related Skills:, BS degree in data analytics, information science, operations research, economics, scientific, mathematical, or technical discipline, Relevant intern experience","Experience-Related Skills:, Demonstrated ability to learn and master new technologies, Experience transforming data and programming ETL workflows, Experience delivering business insights from data",560
3828,Artificial Intelligence,"Director, Informatics","The Opportunity Leveraging our industry leading clinical reference and content resources, Elsevier Clinical Solutions is building decision support and clinical pathway solutions to improve clinical decision making and reduce variability in care. We are seeking a Senior Director of Health Informatics to play a key role in building and delivering clinical decision support solutions integrated in provider workflows. Key Responsibilities · Deliver informatics leadership to health informatics teams and other product teams within clinical solutions, including advanced decision support and clinical pathways. · Participate in development and evaluation of advanced clinical decision support solutions, engaging with clinicians and allied health professionals to provide real-time market feedback. · Engage customers and users to inform the product development lifecycle, with a focus on understanding and translating clinical workflows. · Collaborate with HIT and EHR partners including to optimize delivery of Elsevier solutions including CDS, order sets, and care plans. · Support identification and sourcing of CDS, guideline, and pathways evidence. · Provide guidance to Content Teams by serving as a clinical informatics expert iand advising on knowledge management best practices. · Participate in and lead a broad range of informatics initiatives across Elsevier including artificial intelligence, NLP, analytics, and clinical research. · Serve as a subject matter expert on clinical informatics trends and best practices, educating internal and external customers on emerging trends, standards, and regulations. Elsevier is a global information analytics business that helps institutions and professionals progress science, advance healthcare and improve performance for the benefit of humanity. We help researchers make new discoveries, collaborate with their colleagues, and give them the knowledge they need to find funding. We help governments and universities evaluate and improve their research strategies. We help doctors save lives, providing insight for physicians to find the right clinical answers, and we support nurses and other healthcare professionals throughout their careers. Elsevier provides digital solutions and tools in the areas of strategic research management, R&D performance, clinical decision support, and professional education; including ScienceDirect , Scopus , SciVal , ClinicalKey and Sherpath . Elsevier publishes over 2,500 digitized journals, including _The Lancet_ and _Cell_ , more than 35,000 e-book titles and many iconic reference works, including _Gray’s Anatomy_. Elsevier is part of RELX Group, a global provider of information and analytics for professionals and business customers across industries. Elsevier employs over 7,000 people in more than 70 offices worldwide. We are an employer of choice, attracting and developing talented and creative people who thrive in a challenging and fast-paced environment. We offer an excellent compensation and benefits package as well as a real opportunity for career growth in a growing organization. Elsevier is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact 1.877.734.1938 or accommodations@relx.com . Professional Experience and Qualifications · Passion and enthusiasm for improvement in the quality and cost efficiency of patient care across the U.S. and globally · 2-5 years of experience in informatics and healthcare information technology.. · Extensive experience with electronic health records, decision support, quality measurement, and analytics. · Advanced knowledge of, and experience with established and emerging standards including medical terminologies and taxonomies such as SNOMED-CT, ICD-9/ICD-10, LOINC, RxNORM, UMLS, CPT, NDC, HL-7 FHIR, CDS Hooks, etc.. · Familiar with authoring clinical content/machine interpretable clinical logic for clinical decision support and quality measures. · Analytics experience with structured clinical data and information retrieval from unstructured clinical data. · Ability to work effectively in a collaborative and diverse team environment across Elsevier Clinical Solutions while being personally accountable for individual and team results. · Demonstrated extensive experience with one or more of the major electronic health records systems. · Expertise in the following areas the following: order sets, care plans, reference solutions, clinical pathways, intelligent decision support tools, precision medicine, learning management systems, drug information solutions, and/or additional clinical decision support and workflow solutions. EDUCATION · Advanced training in informatics, computer science, or engineering; Master’s Degree or equivalent experience in informatics preferred. · Physician training and experience preferred (MD/DO) Upon acceptance of this role, the selected internal candidate will be required to sign a Restrictive Covenants Agreement which includes Non-Solicitation, Non-Disclosure and for certain roles a Non-Competition Agreement as a condition of placement into the role. Elsevier is a global information analytics business that helps institutions and professionals progress science, advance healthcare and improve performance for the benefit of humanity. We help researchers make new discoveries, collaborate with their colleagues, and give them the knowledge they need to find funding. We help governments and universities evaluate and improve their research strategies. We help doctors save lives, providing insight for physicians to find the right clinical answers, and we support nurses and other healthcare professionals throughout their careers. Elsevier provides digital solutions and tools in the areas of strategic research management, R&D performance, clinical decision support, and professional education; including ScienceDirect , Scopus , SciVal , ClinicalKey and Sherpath . Elsevier publishes over 2,500 digitized journals, including _The Lancet_ and _Cell_ , more than 35,000 e-book titles and many iconic reference works, including _Gray’s Anatomy_. Elsevier is part of RELX Group, a global provider of information and analytics for professionals and business customers across industries. Elsevier employs over 7,000 people in more than 70 offices worldwide. We are an employer of choice, attracting and developing talented and creative people who thrive in a challenging and fast-paced environment. We offer an excellent compensation and benefits package as well as a real opportunity for career growth in a growing organization. Elsevier is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact 1.877.734.1938 or accommodations@relx.com .","Decision Support, Clinical Pathways, Healthcare Information Technology, Electronic Health Records, Quality Measurement, Analytics, Medical Terminologies (e.g., SNOMED-CT, ICD-9/ICD-10), Taxonomies (e.g., LOINC, RxNORM), Clinical Content Authoring, Data Retrieval, Order Sets, Care Plans, Precision Medicine, Learning Management Systems, Drug Information Solutions, Clinical Decision Support Solutions, Healthcare Standards (e.g., HL-7 FHIR)","Leadership, Customer Engagement, Collaboration, Communication, Problem-solving, Accountability",,,1574
3842,Artificial Intelligence,"Manager, Platforms Risk","Your Responsibilities : The Manager, Platforms Risk is accountable for enabling the GSK Tech Platforms organization to deliver in an efficient and compliant manner. You will identify the risks and deliver solutions in coordination with multiple risk functions, acting as a facilitator for divergent inputs from different stakeholders as needed. You will challenge the status quo as you identify innovative approaches to compliance, including automation using emerging technologies. You will be an agile, collaborative, responsive partner to GSK Tech and practice good judgment and pragmatism to enable delivery at speed. Key Responsibilities Partner with the Tech Platforms team to proactively identify and address emerging areas that require enabling compliance Establish risk and control frameworks to enable use of emerging technologies and to address emerging risks Design and deliver solutions that leverage emerging technologies to automate and drive efficiency and cost savings in compliance related activities Constructively challenge the status quo to deliver innovative solutions. Assist leadership to make risk informed decisions Provide input into Tech policies, procedures and standards Provide co-ordination and leadership in bringing subject matter experts from individual risk functions to drive alignment on compliance approaches Focus on strategy (both within Tech and within the broader GSK Business) and industry trends in what is a very fast moving area of the Tech industry. Support delivery of compliance frameworks to enable use of Agile methodologies Why You? • Bachelor’s degree in Technology, Digital, Data Sciences or other relevant discipline with a Technology focus Minimum 10 years of experience working in the Technology field Passionate about technology – self driven continuous learner Demonstrable experience with the technology that makes up an end-to-end cloud platform and the services required to configure, deliver, support and manage that platform Maintain current knowledge of Technology risk management controls that includes an understanding of the different types of sensitive data, the associated risk profile of handling each type of data, and the appropriate risk mitigation strategies to be employed Ability to evaluate risks associated with third party engagements Direct experience with agile software development processes Proven management experience of cross functional/matrix teams located globally Excellent relationship management, strong influencing and communication skills with all levels of the organization Possess high learning agility, pragmatism and good judgment Ability to handle fast paced, multi-task environment Preferred qualifications: • Master’s degree in Technology, Digital, Data Sciences or other relevant discipline Experience working in Technology within the Fast Moving Consumer Goods/Pharmaceutical Industry with experience in Risk Management & Compliance Demonstrable experience in managing emerging technology risks and/or use of emerging technology (e.g., Artificial Intelligence, Blockchain, Robotics) to execute compliance activities Experience in interpreting policies, procedures and processes for ensuring compliance Why GSK? : At GSK, our mission is to improve the quality of human life by enabling people to do more, feel better and live longer. Our three world-leading businesses research and deliver innovative medicines, vaccines and consumer healthcare products. We need a talented and motivated workforce to deliver against our strategy. To achieve this, we strive to attract the best people and to create an environment that empowers and inspires. Contact information: You may apply for this position online by selecting the Apply now button. _If you require an accommodation or other assistance to apply for a job at GSK, please contact the GSK HR Service Centre at 1-877-694-7547 (US Toll Free) or +1 801 567 5155 (outside US)._ _GSK is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive equal consideration for employment without regard to race, color, national origin, religion, sex, pregnancy, marital status, sexual orientation, gender identity/expression, age, disability, genetic information, military service, covered/protected veteran status or any other federal, state or local protected class._ __ _Important notice to Employment businesses/ Agencies_ _GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site._ Please note that if you are a US Licensed Healthcare Professional or Healthcare Professional as defined by the laws of the state issuing your license, GSK may be required to capture and report expenses GSK incurs, on your behalf, in the event you are afforded an interview for employment. This capture of applicable transfers of value is necessary to ensure GSK’s compliance to all federal and state US Transparency requirements. For more information, please visit GSK’s Transparency Reporting For the Record site.","Risk Management, Compliance, Emerging Technologies, Automation, Agile Methodologies, Technology Risk Management, Cloud Platforms, Third-Party Engagement, Software Development Processes, Policies and Procedures Interpretation","Leadership, Communication, Relationship Management, Influencing, Team Management, Learning Agility, Pragmatism, Good Judgment",,,1134
3863,Artificial Intelligence,"Regulatory Writer, All Locations","Position: Regulatory Writer Location: All Locations Company Overview: Synchrogenix, a Certara® company, is a global, multimillion-dollar regulatory and scientific writing company headquartered in Wilmington, DE, with US offices in Atlanta, GA; Thousand Oaks, CA; Cincinnati, OH; Philadelphia, PA; Raleigh, NC; Malvern, PA; Parsippany, NJ; San Diego, CA; Nashville, TN; Orlando, FL; Gaithersburg, MD; and Cambridge, MA. Synchrogenix has two wholly owned subsidiaries: Synchrogenix Europe Limited, headquartered in Daresbury, UK, with an additional office in London; and Synchrogenix Philippines Inc. (SPI), headquartered in Manila. Founded in 1986, Synchrogenix takes a unique team approach to projects drawing from the varied skills and backgrounds of its writers and editors. This approach enables Synchrogenix to bridge all functional areas within drug development, with the singular focus on regulatory/medical documentation. Regulatory writing is truly an expertise, and Synchrogenix’s 180+ permanent writers and editors are among the best in the world. Synchrogenix now offers additional technologies and services that expedite the regulatory process. These include: The only artificial intelligence assisted medical writing service in the pharmaceutical industry. This transformative technology helps clients to better meet global transparency and disclosure requirements. Submission Management - our suite of products consists of the solutions regulatory operations professionals need to efficiently manage and publish, validate and review eCTD submissions. Regulatory Services - submission and publishing services for marketing and pre-marketing applications as well as subsequent lifecycle submissions to support original applications. Document Management - an intuitive, affordable document management system that reduces complexity form a user perspective while meeting the same robust standards for security and regulatory compliance This combined knowledge makes Synchrogenix the consultancy of choice for life science and biotechnology companies worldwide. Synchrogenix was named one of the INC 500/5000 Fastest Growing US Companies in 2012, 2013, 2014, 2016 and 2017 and has been named a Best Place to Work multiple times. Corporate Culture: Synchrogenix was founded on the principles of ethical business practices and high-quality work. It is a learning-oriented organization with a strong commitment to the idea that every individual—regardless of experience level—has something to teach and something to learn. Synchrogenix has built its culture on: Being fast and flexible, non-hierarchical, apolitical, and non-defensive Active participation—nobody sits on the sidelines Teamwork—the company’s success is important to all of us Cross-functional communication (lots of it) and a high-tech culture that works to have everyone on the same page Disciplined leadership that inspires passion and commitment Personal accountability Strong peer and management support for those who want to learn Responsibilities You will be trained to: Participate on project teams that may be led by a Principal Regulatory Writer, Associate Principal Regulatory Writer, or Senior Regulatory Writer Author documents per client specifications, templates, style guides, and other guidance documents Provide clinical review for patient narratives and other documents Act as a client point of contact Manage a budget for a project or a task within a project Usher documents through the review process, conduct comment resolution meetings (CRMs) Maintain collaborative, proactive, and effective communication with both client and internal teams Participate in project-related meetings and teleconferences Requirements Bachelor’s degree in English, Journalism, Scientific discipline or related field ELS certification desired, but not required 1-3 years of prior related experience; highly skilled, talented, and motivated candidates will be considered Strong computer skills, including proficiency with Microsoft Outlook, Word, Excel, and PowerPoint Background in pharmaceuticals and/or science and technical industries is preferred Demonstrates solid time management skills. Shows flexibility to meet project needs as required by deadlines and meeting corporate goals and objectives. Maintains high ethical and quality standards as defined in the Employee Manual Ability to analyze clinical data and present it in a written format Strong interest in writing/editing The Ideal Candidate Is reliable, professional and discrete, and personable with business acumen Is a team player who is flexible with an extremely high level of attention to detail and enjoys collaboration Is deadline conscious with strong leadership and management of process Is self-motivated and solution-driven Can manage changing and competing priorities in a fast-paced environment Desires challenges, both technical and interpersonal Opportunity and Value for the Right Candidate Make an immediate contribution Be a critical driver to overall company success Variety — submission-level work across therapeutic areas Flexibility — custom schedules and benefits of “flex time” Stability — almost 32 years in business Support — a community of writers working as a team Grow - excellent potential for growth and advancement Learn - gain valuable knowledge and expertise for development and advancement (training provided); the ever-evolving pharmaceutical and biotech industries, and a niche segment, that is growing exponentially. Competitive compensation and benefits package _Synchrogenix is proud to be an Equal Opportunity Employer and will consider all qualified applicants for employment without discrimination on grounds of disability, sex or sexual orientation, pregnancy or maternity leave status, race or national or ethnic origin, age, religion or belief, gender identity or re-assignment, marital or civil partnership status, protected veteran status, or any other characteristic protected by law. Synchrogenix makes reasonable accommodations for disabled employees and applicants. Synchrogenix only employs individuals with the right to work in the country/ies where the role is advertised. We are committed to fostering, cultivating, and preserving a culture of diversity and inclusion. The collective sum of the individual differences, life experiences, knowledge, inventiveness, innovation, self- expression, unique capabilities and talent that our employees invest in their work represents a significant part of not only our culture, but our reputation and achievement._","Microsoft Outlook, Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Analyzing clinical data","Strong time management, Attention to detail, Leadership, Collaboration, Flexibility, Problem-solving, Strong communication, Ethical standards",,,1286
