Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
Senior Manager - Data Science,AMERICAN EXPRESS,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,Text miningCareer developmentdata scienceFinanceMachine learningData miningStakeholder managementSQL,https://www.naukri.com/job-listings-senior-manager-data-science-american-express-company-gurgaon-gurugram-4-to-8-years-261023500868,1 Day Ago
Advance Analytical and Data Sciences -Manager,G R Infraprojects,6-10 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana",Advanced Statistical AnalysisData Governance and Quality AssuranceMachine Learning and AIData Analysis and VisualizationManagementQuality assuranceArtificial IntelligenceData Visualization,https://www.naukri.com/job-listings-advance-analytical-and-data-sciences-manager-g-r-infraprojects-gurgaon-gurugram-haryana-6-to-10-years-201023006747,7 Days Ago
Manager - Digital Product Analytics [Data Science],Resy,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,Product managementCareer developmentOperations researchData modelingAnalyticalRelationship buildingMachine learningSQL,https://www.naukri.com/job-listings-manager-digital-product-analytics-data-science-resy-gurgaon-gurugram-4-to-8-years-231023500954,4 Days Ago
Data Science Manager,Foreign IT Consulting MNC,1-3 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Change managementSASCodingData miningPythonRstatistic techniquesDebugging,,10 Days Ago
Data Science Manager,Fortune India 500 Company in FMCG,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Data analysisdata scienceAnalyticalPredictive modelingRisk managementData miningForecastingFinancial services,,1 Day Ago
,,3-6 Yrs,Not disclosed,Noida,Data analysisEDCRisk assessmentrisk modelingMachine learningData processingmodel developmentFinancial services,,8 Days Ago
,,3-8 Yrs,Not disclosed,Gurgaon/Gurugram,Text miningCareer developmentdata scienceFinanceMachine learningData miningStakeholder managementSQL,,1 Day Ago
,,1-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Data Sciencedata analyticsSASData miningPythonRNLPMachine learning,,28 Days Ago
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Accenture,8-12 Yrs,Not disclosed,Bangalore/Bengaluru,deep learningdata scienceGCPNeural networksMachine learningCloudData processingSubject Matter Expert,https://www.naukri.com/job-listings-gn-strategy-mc-t-o-nlp-data-science-analyst-accenture-solutions-pvt-ltd-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-1-to-3-years-270823902270,2 Days Ago
Senior Data Science Analyst,Alliance Data,15-24 Yrs,Not disclosed,"Delhi / NCR, Mumbai (All Areas)",Data SciencepythonPyTorchArtificial IntelligenceLarge language ManagementMachine LearningTensorFlowIntelligence,https://www.naukri.com/job-listings-senior-data-science-analyst-alliancedata-bangalore-bengaluru-4-to-9-years-261023501426,1 Day Ago
Data Science - Senior Data Scientist,Paytm,8-10 Yrs,Not disclosed,Hyderabad/Secunderabad,Statistical programmingData analysisAutomationAnalyticalMachine learningAgileOpen sourceSQL,https://www.naukri.com/job-listings-data-science-senior-data-scientist-paytm-noida-3-to-6-years-191023500927,4 Days Ago
Senior Manager-Data Science,Resy,7-10 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru",NoSQLManager Quality AssuranceGCPMachine learningSCALAData processingData qualityAnalytics,https://www.naukri.com/job-listings-senior-manager-data-science-resy-gurgaon-gurugram-3-to-8-years-261023501385,1 Day Ago
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Accenture,5-8 Yrs,Not disclosed,Hyderabad/Secunderabad,Data analysisdata scienceAnalyticalMachine learningHTMLMonitoringFinancial servicesSQL,https://www.naukri.com/job-listings-gn-strategy-mc-t-o-nlp-data-science-analyst-accenture-solutions-pvt-ltd-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-1-to-4-years-260823904874,11 Days Ago
Senior Divisional Manager- Data Science,TVS Motor,7-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Computer scienceContent strategyData analysisUsagedata scienceArtificial IntelligenceMachine learningData analytics,https://www.naukri.com/job-listings-senior-divisional-manager-data-science-tvs-motor-company-bangalore-bengaluru-8-to-12-years-251023500863,17 Days Ago
Head Data Science -Leading Company - Mumbai / Delhi,Hector And Streak Consulting,1-3 Yrs,6-10 Lacs PA,Noida(Sector-126 Noida),Data ScienceSQLArtificial IntelligenceNatural Language ProcessingData AnalysisAimlTableauMachine Learning,https://www.naukri.com/job-listings-head-data-science-leading-company-mumbai-delhi-hector-and-streak-consulting-delhi-ncr-mumbai-all-areas-15-to-24-years-181023007371,7 Days Ago
Senior Analyst Data Science,Pepsi Foods,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainOperations researchNoSQLdata sciencecassandraMachine learningMATLABSQL,https://www.naukri.com/job-listings-senior-analyst-data-science-pepsi-foods-priv-limited-hyderabad-secunderabad-8-to-10-years-231023501879,4 Days Ago
Data Science Engineer,Cognisure,2-4 Yrs,Not disclosed,Faridabad,Cloud computingStatistical modelingExceldata scienceMachine learningcloud storagedigital transformationAnalytics,https://www.naukri.com/job-listings-data-science-engineer-cognisure-pune-bangalore-bengaluru-7-to-10-years-261023501559,4 Days Ago
"Senior Analyst, Data Science",DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,2-5 Yrs,18-22.5 Lacs PA,Remote,Data ModelingPythonSQlDataData analysisScienceModelingData Science,https://www.naukri.com/job-listings-senior-analyst-data-science-dun-bradstreet-information-services-india-private-limited-hyderabad-secunderabad-5-to-8-years-161023501004,5 Days Ago
Data Science Domain Manager,Coursera,5-10 Yrs,Not disclosed,Remote,Data ScienceData MartArtificial IntelligenceData CurationData MiningData VisualizationData AnalyticsMachine Learning,https://www.naukri.com/job-listings-data-science-domain-manager-coursera-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-7-to-11-years-101023500825,23 Days Ago
Data Science Engineer,Leverage Edu,0-0 Yrs,2.5-4 Lacs PA,"Lucknow, Uttar Pradesh",DATA SCIENCEPYTHON PROGRAMMINGArtificial IntelligenceNatural Language ProcessingMachine LearningDeep LearningIntelligenceProgram,https://www.naukri.com/job-listings-data-science-engineer-leverage-edu-noida-1-to-3-years-110923006766,8 Days Ago
Data Science Consultant,Blue Yonder,1-3 Yrs,Unpaid,"Mumbai, New Delhi",Statistical programmingAnalyticalSAS Rclinical developmentProgrammingSAS ProgrammingTroubleshootingOracle,https://www.naukri.com/job-listings-data-science-consultant-jda-software-bangalore-bengaluru-5-to-10-years-231023500813,Starts in 1-3 months
Data Science & Analytics Professional,Onetick Technologies,6-11 Yrs,Not disclosed,Noida,data scientistimage processingdata labelNatural Language ProcessingLarge language modellingAILLMMachine Learning,https://www.naukri.com/job-listings-data-science-analytics-professional-onetick-technologies-faridabad-2-to-4-years-231023500974,9 Days Ago
Data Science Analyst,Celersoft,12-20 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Cluster analysisdeep learningorchestrationGCPMachine learningProcess qualityData analyticsAWS,https://www.naukri.com/job-listings-data-science-analyst-celersoft-hyderabad-secunderabad-telangana-2-to-5-years-221023002040,9 Days Ago
Senior Data Analyst (Data Science),Trigyn Technologies,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Data ScienceInsightsdataSASArtificial IntelligenceFinanceTableauForecasting,https://www.naukri.com/job-listings-senior-data-analyst-data-science-trigyn-technologies-spain-5-to-10-years-041023008692,30+ Days Ago
Data Science Engineer (Python),Swastikam Edutech Llp,3-7 Yrs,Not disclosed,"Noida, Uttar Pradesh, New Delhi, Delhi, Gurgaon/ Gurugram, Haryana",Data analysisdata scienceSASAnalyticalMachine learningInformation managementSQLPython,https://www.naukri.com/job-listings-data-science-engineer-python-swastikam-edutech-llp-lucknow-uttar-pradesh-0-to-0-years-100823004974,15 Days Ago
Data Science Intern,Gist Advisory,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,NLPData SciencePredictive ModelingTeam ManagementPower BiAdvanced AnalyticsStatistical ModelingETL,https://www.naukri.com/job-listings-data-science-intern-gist-advisory-pvt-ltd-mumbai-new-delhi-3-to-4-years-181023501507,4 Days Ago
DATA SCIENCE INTERN,Medtek Dot Ai,5-8 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh",Statistical programmingCareer developmentQCResourcingSAS RProgrammingMentorManagement,https://www.naukri.com/job-listings-data-science-intern-medtek-ai-noida-1-to-3-years-181023502058,18 Days Ago
Data Science Engineer,HTC Global Services,4-8 Yrs,Not disclosed,Chennai,Computer scienceComputer visionSANImage processingSOCMachine learningSMSSignal processing,https://www.naukri.com/job-listings-data-science-engineer-htc-global-services-bangalore-bengaluru-6-to-11-years-120723009466,13 Days Ago
Data Science (Generative AI) - Senior Manager - ANI,PwC,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Cloud computingManager Internal AuditBusiness analyticsConsultingMachine learningAgileGap analysisRisk management,https://www.naukri.com/job-listings-data-science-generative-ai-senior-manager-ani-pricewaterhouse-coopers-private-limited-hyderabad-secunderabad-bangalore-bengaluru-12-to-20-years-210823501146,8 Days Ago
Manager - Data Science | Leading Finance Co. | Gurgaon,Hindco Recruitment Consultants,8-10 Yrs,Not disclosed,Pune,Data ScienceData analysisCoreNLPProject managementMySQLOpen sourceSQLPython,https://www.naukri.com/job-listings-manager-data-science-leading-finance-co-gurgaon-hindco-recruitment-consultants-noida-uttar-pradesh-new-delhi-delhi-gurgaon-gurugram-haryana-5-to-10-years-121023008785,30+ Days Ago
Intermediate Data Science Specialist,Camp Dresser & Mckee,5-10 Yrs,Not disclosed,"Mumbai, Navi Mumbai",Machine LearningPythonSQLDataManagementData ScienceScienceMachine,https://www.naukri.com/job-listings-intermediate-data-science-specialist-camp-dresser-and-mckee-india-pvt-ltd-bangalore-bengaluru-3-to-7-years-231023501576,10 Days Ago
Head - Data Science & Business Analytics,Denave,4-8 Yrs,Not disclosed,Hybrid - Chennai,Regression testingMachine LearningDeep LearningTensorflowSEO testingweb applicationsJiraR,https://www.naukri.com/job-listings-head-data-science-business-analytics-denave-noida-uttar-pradesh-12-to-15-years-091023004712,14 Days Ago
Statistical Data Sciences Lead (IC),Pfizer,5-8 Yrs,Not disclosed,"Kolkata, Mumbai",Analytical skillsdeep learningAnalystPublishingArchitecturedata scienceArtificial Intelligencedata visualization,https://www.naukri.com/job-listings-statistical-data-sciences-lead-ic-pfizer-limited-chennai-5-to-8-years-141023500621,4 Days Ago
Sr Research Engineer- Data Science,Ennoventure Technologies,8-13 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Data managementdata scienceProject managementData analyticsdata visualizationManagementData miningBusiness intelligence,https://www.naukri.com/job-listings-sr-research-engineer-data-science-ennoventure-inc-bangalore-bengaluru-4-to-8-years-191023501009,30+ Days Ago
"Senior Model Governance Analyst, Data Science & Analytics",Transunion,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Data ScienceJavadata managementdatabase programming languagesmathematical computingConfluenceJiraPython,https://www.naukri.com/job-listings-senior-model-governance-analyst-data-science-analytics-transunion-software-services-pvt-ltd-pune-5-to-9-years-190923501350,23 Days Ago
Lead Data Scientist - Data Science,Reserve Bank Information Technology,5-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",regressionrecommendationmachine learning algorithmsAnalyticsPythonRclusteringData,https://www.naukri.com/job-listings-lead-data-scientist-data-science-reserve-bank-information-technology-pvt-ltd-mumbai-navi-mumbai-8-to-10-years-171023909106,11 Days Ago
Lead Data Scientist / Data Science - Manager | GeakMinds | Chennai,GeakMinds Technology Private Limited,2-5 Yrs,Not disclosed,Remote,Data WranglingPandasData AnalysisData VisualizationJupyter NotebookNumpyPythonData,https://www.naukri.com/job-listings-lead-data-scientist-data-science-manager-geakminds-chennai-geakminds-technology-private-limited-chennai-5-to-10-years-131023007799,11 Days Ago
Data Science Professional,Makwiz Technologies,5-6 Yrs,Not disclosed,Remote,data scienceproject managementPower BIHIPAATableaumachine learningdata visualization toolsPython,https://www.naukri.com/job-listings-data-science-professional-makwiz-technologies-kolkata-mumbai-4-to-8-years-231023902779,15 Days Ago
