Job_Titles,Company_Names,Experience_Required,Package_Details,Locations,Skills,Post_Url,Post_Time
"Lead Analyst, Data & Analytics",ANZ,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,data cleansingData analysisAutomationData managementData qualityData analyticsRisk managementContinuous improvement,https://www.naukri.com/job-listings-lead-analyst-data-analytics-anz-banking-group-bangalore-bengaluru-4-to-6-years-251023500010,3 Days Ago
Director Data Analytics (Immediate Joiner preferable),Techneplus Software,10-15 Yrs,Not disclosed,"Noida, Uttar Pradesh, Bangalore/ Bengaluru, Karnataka",Data ScienceData VisualizationData ModelingData ArchitectureData IntegrationData AnalysisDataArchitecture,https://www.naukri.com/job-listings-director-data-analytics-immediate-joiner-preferable-techneplus-software-noida-uttar-pradesh-bangalore-bengaluru-karnataka-10-to-15-years-261023009793,1 Day Ago
Data Analytics Lead,Gartner,5-8 Yrs,Not disclosed,Gurgaon/Gurugram,Process designChange managementProject managementAnalyticalData analyticsContinuous improvementStakeholder managementRecruitment,https://www.naukri.com/job-listings-data-analytics-lead-gartner-gurgaon-gurugram-5-to-8-years-261023500850,1 Day Ago
Data Analytics Analyst,Leading Indian IT Company,4-7 Yrs,Not disclosed,"Noida, Mumbai, Bangalore/Bengaluru",Data AnalysisRSASPower BIData VisualizationTableauRisk analysisMachine Learning,,2 Days Ago
Data Analytics Analyst,Foreign MNC in BPO,7-9 Yrs,Not disclosed,Jaipur,Data AnalyticsData EngineeringScalaHadoopOLAPSQL serverSQLPL/SQL,,1 Day Ago
,,7-9 Yrs,Not disclosed,Jaipur,Data AnalyticsData ModellingData EngineeringSchemaAgilePLSQLOLAPOracle,,1 Day Ago
,,3-7 Yrs,10-20 Lacs PA,"Hybrid - Gurgaon/ Gurugram, Haryana",SQLBusiness IntelligencePower BiMicrosoft Power BiData ExtractionAdvance SqlTableauDax Queries,,6 Days Ago
,,5-10 Yrs,Not disclosed,Mumbai,ExcelMISPower point presentationData analyticsBudgetingManagementStakeholder managementPowerpoint,,1 Day Ago
Manager/Team Lead Data Analytics,Human Development & Research Foundation,6-8 Yrs,Not disclosed,Gurgaon/Gurugram,Career developmentData managementAnalyticalConsultingMarket researchdata privacySPSSIPS,https://www.naukri.com/job-listings-manager-team-lead-data-analytics-human-development-research-foundation-noida-mumbai-bangalore-bengaluru-4-to-7-years-261023903983,4 Days Ago
Associate-Data Analytics,Deutsche Bank,3-8 Yrs,Not disclosed,"New Delhi, Delhi",Data Management And AnalysisStakeholder ManagementStrategic ThinkingAgriculture InsuranceStrategic PlanningRisk ManagementData managementManagement,https://www.naukri.com/job-listings-associate-data-analytics-deutsche-bank-ag-jaipur-7-to-9-years-271023911420,7 Days Ago
Associate- Data Analytics,Deutsche Bank,1-5 Yrs,3.5-5 Lacs PA,Mumbai (All Areas)(Mumbra),Data AnalysisData MiningData ExtractionData ProcessingData ManagementAnalysisManagementData analytics,https://www.naukri.com/job-listings-associate-data-analytics-deutsche-bank-ag-jaipur-7-to-9-years-271023910805,9 Days Ago
Data Analyst - US MNC (analytics),Aspyra Hr Services,7-9 Yrs,Not disclosed,Chennai,SQL queriesData analysisData modelingProgrammingData qualityData analyticsFinancial risk managementBusiness intelligence,https://www.naukri.com/job-listings-data-analyst-us-mnc-analytics-aspyra-hr-services-gurgaon-gurugram-haryana-3-to-7-years-211023005306,4 Days Ago
Manager - HR Data & Analytics,Crisil,5-10 Yrs,Not disclosed,"Hybrid - Mumbai, Maharashtra, Goregaon, Maharashtra",SQL CodingTableauSASAlteryxCampaign AnalyticsMarketing AnalyticsPythonSQL,https://www.naukri.com/job-listings-manager-hr-data-analytics-crisil-mumbai-5-to-10-years-261023500942,1 Day Ago
Sr Consultant - Data & Analytics - Digital,Gartner,15-20 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana",Data EngineeringBudget ManagementRecruitment ManagementPeople ManagementLeadership SkillsHiringDataData Architecture,https://www.naukri.com/job-listings-sr-consultant-data-analytics-digital-gartner-gurgaon-gurugram-6-to-8-years-231023500566,1 Day Ago
