job_title,skills,source
Admin Big Data,"Hadoop, Spark, MapReduce, Data Lakes, Data Warehousing, Big Data Architecture, NoSQL, Data Modeling, ETL, Cloud Computing, AWS, Azure, Data Governance, Security",original
Ansible Operations Engineer,"Ansible, Linux, Automation, Cloud Platforms, CI/CD, Infrastructure as Code, Kubernetes, Docker, AWS, Terraform, Python, Scripting, Networking",original
Artifactory Administrator,"Artifactory, CI/CD, Jenkins, Docker, Maven, Gradle, Build Automation, Version Control, Git, Cloud Computing, Linux, JFrog CLI",original
Artificial Intelligence / Machine Learning Leader,"AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management",original
Artificial Intelligence / Machine Learning Sr.Leader,"AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management, Innovation, Mentoring",original
Artificial intelligence Architect,"AI Architecture, Machine Learning, Cloud Computing, Data Science, Deep Learning, System Design, AWS, Azure, Scalability, Security, Model Deployment",original
Artificial Intelligence Researcher,"Machine Learning, Deep Learning, Research Methods, Python, TensorFlow, PyTorch, Data Analysis, Statistical Analysis, Algorithm Design, Scientific Writing",original
Big Data Architect,"Hadoop, Spark, Kafka, MapReduce, NoSQL, Data Warehousing, Cloud Computing, AWS, Azure, Data Lakes, Data Modeling, ETL, Data Governance, Security",original
Big Data Engineer,"Hadoop, Spark, Kafka, SQL, NoSQL, Python, Java, Scala, Data Pipelines, ETL, Data Warehousing, Cloud Computing",original
Big Data Specialist,"Hadoop, Spark, Data Analysis, Data Visualization, SQL, NoSQL, Data Modeling, ETL, Cloud Computing, Data Mining, Statistical Analysis",original
Build and Release Engineer,"CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools",original
Build Engineer,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control",original
Chef Operations Engineer,"Chef, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code",original
Data Analysts,"SQL, Excel, Data Visualization, Power BI, Python, R, Statistics, Data Mining, Data Cleansing, Tableau, ETL, Data Modeling",original
